"AnchorUrl","ApplicationPermissions","OperationPermissions","ResourceType","OriginalName","PrefixedName","LastUpdated"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#antiphishrule-resource-type","","","exchange","antiphishrule","microsoft.exchange.antiphishrule","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#antiPhishRule-resource-type","","","exchange","antiPhishRule","microsoft.exchange.antiPhishRule","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#applicationAccessPolicy-resource-type","","","exchange","applicationAccessPolicy","microsoft.exchange.applicationAccessPolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#applicationaccesspolicy-resource-type","","","exchange","applicationaccesspolicy","microsoft.exchange.applicationaccesspolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#atpPolicyForO365-resource-type","","","exchange","atpPolicyForO365","microsoft.exchange.atpPolicyForO365","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#atppolicyforo365-resource-type","","","exchange","atppolicyforo365","microsoft.exchange.atppolicyforo365","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#authenticationPolicy-resource-type","","","exchange","authenticationPolicy","microsoft.exchange.authenticationPolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#authenticationpolicy-resource-type","","","exchange","authenticationpolicy","microsoft.exchange.authenticationpolicy","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#authenticationPolicyAssignment-resource-type","","","exchange","authenticationPolicyAssignment","microsoft.exchange.authenticationPolicyAssignment","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#authenticationpolicyassignment-resource-type","","","exchange","authenticationpolicyassignment","microsoft.exchange.authenticationpolicyassignment","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#availabilityaddressspace-resource-type","","","exchange","availabilityaddressspace","microsoft.exchange.availabilityaddressspace","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#availabilityAddressSpace-resource-type","","","exchange","availabilityAddressSpace","microsoft.exchange.availabilityAddressSpace","2026-02-06T10:47:34Z"
"https://learn.microsoft.com/en-us/graph/utcm-exchange-resources#availabilityConfig-resource-type","","","exchange","availabilityConfig","microsoft.exchange.availabilityConfig","2026-02-06T10:47:34Z"
